    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      -1.706795572,      0.4561201536,      0.9335222379,       3.639345068,        1.39922705,       3.023789611
       -2.11486962,      0.4004139138,      0.8761505187,       3.471067926,       1.279068839,       2.971219846
      -1.767144842,      0.5679897534,       1.030268263,        3.55213978,       1.460992342,       3.038424943
      -2.042983425,       0.454697541,      0.9195328735,       3.544815211,        1.32362008,       2.981066904
      -1.740034387,      0.6504783887,       1.108721172,       3.579764308,       1.502103047,         3.0453581
      -1.908140792,      0.5186385163,      0.9615303199,       3.640620041,       1.368800136,       2.987667441
      -1.668478622,      0.7325438958,       1.177647871,       3.661841209,       1.522988671,       3.043316081
      -1.790460849,      0.5398027234,      0.9879645198,       3.736132185,       1.402266522,       2.998675403
      -1.615764691,      0.7760094951,       1.230990706,       3.705713708,       1.522312318,       3.028216355
      -1.805458905,      0.5336292872,      0.9858326037,       3.721221769,       1.431669486,       2.994046556
      -1.588620684,      0.7983802143,       1.279146838,       3.726816442,       1.514676231,        3.01173575
       -1.76386343,      0.5586599209,      0.9819951341,       3.742192176,       1.447672758,        2.97865913
      -1.600575212,      0.7877036532,        1.31428751,       3.705010502,       1.506669904,       2.994598853
      -1.693303666,      0.5974061967,      0.9931076124,       3.792402971,        1.45704209,       2.968192828
      -1.584820004,      0.7830723057,       1.344386794,       3.721116463,       1.508793585,       2.974208648
      -1.635015791,      0.6460339705,       1.011250142,       3.840418429,       1.449771025,       2.943429702
      -1.594372949,      0.7686131429,       1.374129046,       3.708844144,       1.533331787,       2.956997679
      -1.584635861,      0.6792775094,       1.034808922,       3.884933571,       1.564638092,       2.999436272
      -1.436809761,      0.7691095009,       1.462946188,       3.899073976,       1.553952821,       2.914612348
      -1.605869068,       0.742123314,       1.010534299,       3.860523618,       1.525605882,       2.950725143
      -1.442862954,      0.6983829649,       1.450997164,       3.895375399,       1.529511033,       2.889632928
      -1.610259678,      0.7537822461,      0.9750677904,       3.857104785,       1.474147046,       2.895832995
      -1.462659525,       0.537376349,       1.374248677,       3.901293244,       1.455706327,       2.863792802
      -1.663016627,      0.6956538202,      0.8978513733,       3.809782334,       1.331848336,       2.840197915
       -1.61897812,      0.5252692616,       1.211883354,       3.737332574,       1.545643332,       2.882960156
      -1.674019701,      0.5920060744,       1.261083677,        3.81498631,       1.573092878,       2.899603388
      -1.829230908,      0.6326327521,       1.447165169,       3.599238876,       1.661527237,       2.931294214
      -1.753389116,      0.5291251386,       1.104750199,       3.798493458,       1.590530182,       2.905986731
       -1.73507395,      0.7226270675,       1.532918887,       3.542146934,       1.698258386,       2.949581642
      -1.624634266,      0.6677053891,       1.069824716,       3.894386819,       1.828407119,       3.055875481
       -1.34593331,      0.4351139162,        1.50507817,       4.036827859,       1.489590329,       2.866639019
      -1.694706081,      0.5303869466,      0.9100448722,       3.782720814,       1.859568186,       3.027527629
      -1.426400246,      0.4392248245,       1.548803003,       4.010394035,       1.732264807,       2.978186995
      -1.435406519,      0.4679939188,       1.477443534,       4.032525943,       2.142223166,       3.247404737
      -1.173155756,       0.533778902,       1.589793184,       4.267711744,       2.343832348,       3.453285293
